Alarm Name,Severity,Description,Route To,Explanation,Recommended Action
DiskConsumptionCloseToCapacityThreshold,ERROR_ALARM,Disk space consumption is near disk capacity. This messaging system is currently using %1 percent of total disk space available (%2MB). The system will not record new messages if disk consumption is at or higher than %3 percent.,Event LogAlert Log,"When the system is at disk capacity, users cannot send or forward messages and cannot receive new messages until the disk capacity threshold is no longer exceeded. (Note that users can still listen to existing messages and delete messages.)","Free disk space on this system. Start by having users delete voice messages that they no longer need. Connection automatically removes deleted messages from the hard disk every 30 minutes. To ensure that the system does not reach maximum disk capacity again, revise the Message Storage > Message Aging Policy and the Message Storage > Mailbox Quotas pages in Cisco Unity Connection Administration."
DiskConsumptionExceedsCapacityThreshold,ERROR_ALARM,Disk space consumption is at disk capacity. This messaging system is currently using %1 percent of total disk space available (%2MB). The system will not record new messages when disk consumption is at or higher than %3 percent.,Event LogAlert Log,"When the system is at disk capacity, users cannot send or forward messages and cannot receive new messages until the disk capacity threshold is no longer exceeded. (Note that users can still listen to existing messages and delete messages.)","Free disk space on this system. Start by having users delete voice messages that they no longer need. Connection automatically removes deleted messages from the hard disk every 30 minutes. To ensure that the system does not reach maximum disk capacity again, revise the Message Storage > Message Aging Policy and the Message Storage > Mailbox Quotas pages in Cisco Unity Connection Administration."
EvtAppendUserInfo,INFORMATIONAL_ALARM,%1,Event Log,User Information,None
EvtAsMethodHresult,ERROR_ALARM,"Unexpected error occurred in the User searcher conversation. For further investigation, please turn on all the diagnostics for Address Searcher. TECHNICAL DETAILS:%1 returned [%2] on line %3 of file %4.",Event Log,Unexpected error occurred in the User searcher conversation.,"For further investigation, please turn on all the diagnostics for ConvSub and CDE."
EvtAsNullParameter,ERROR_ALARM,An invalid argument (a NULL parameter) was received. This is a fatal condition and is not expected. Possible reason for failure could be a corrupted stack or memory. TECHNICAL DETAILS: Invalid argument passed into method %1 on line %2 of file %3.,Event Log,An invalid argument (a NULL parameter) was received. This is a fatal condition and is not expected. Possible reason for failure could be a corrupted stack or memory.,See the Cisco Unity Connection Troubleshooting Guide.
EvtAsNullPointer,ERROR_ALARM,Invalid data (a NULL pointer) found. This is a fatal condition and is not expected. Possible reasons for failure could be data link corruptions or a corrupted stack or memory. TECHNICAL DETAILS: Method %1 returned a NULL pointer on line %2 of file %3.,Event Log,Invalid data (a NULL pointer) found. This is a fatal condition and is not expected. Possible reasons for failure could be data link corruptions or a corrupted stack or memory.,See the Cisco Unity Connection Troubleshooting Guide.
EvtAXLServerConnectionFailed,ERROR_ALARM,Failed to update PIN on CUCM. Reason: Unable to connect with the AXL Server.,Event Log,Failed to update PIN on CUCM since connection to AXL server failed.,Verify AXL server configuration and test the AXL connectivity
EvtAuditEncryptFailed,ERROR_ALARM,CuEncrypt failed to encrypt user data. DETAILED INFORMATION:Account Name: %1 Process Name: %2 Error: %3 Additional Details: %4,Event Log,CuEncrypt failed to encrypt user data.,See the Cisco Unity Connection Troubleshooting Guide.
EvtAuditEncryptSetupSuccess,INFORMATIONAL_ALARM,CuEncrypt encryption key and initialization vector are successfully set up. DETAILED INFORMATION: Account Name: %1 Process Name: %2,Event Log,CuEncrypt encryption key and initialization vector are successfully set up.,None
EvtAuditEncryptSuccess,INFORMATIONAL_ALARM,CuEncrypt successfully encrypted/decrypted user data. DETAILED INFORMATION: Account Name: %1 Process Name: %2 Additional Information: %3,Event Log,CuEncrypt successfully encrypted/decrypted user data.,None
EvtAuthzKeyRotation,WARNING_ALARM,Jabber login for user is failing due to improper Authz keys. Sync keys with the associated Authz Server. Refer Cisco Unity Connection Troubleshooting Guide for more details.,Sys Log,Authz key validation error occurred due to mismatch of existing Authz keys with the corresponding Authz Server.,Sync keys with the Authz Server.
EvtAvmiuDetectMultipleRemote,ERROR_ALARM,Component Miu: device %1: detected simultaneous connections to multiple remote IP addresses or ports. The remote IP address/ports are: 1=%2; 2=%3. This condition can result in disruptions to or loss of messages as they are recorded. The cause of this condition is an endpoint that erroneously sends RTP data because the audio stream has not been properly terminated.,Event Log,Component Miu: device detected simultaneous connections to multiple remote IP addresses or ports. This condition can result in disruptions to or loss of messages as they are recorded. The cause of this condition is an endpoint that erroneously sends RTP data because the audio stream has not been properly terminated.,None
EvtBackendInitFailed,ERROR_ALARM,"Initialization failed, unable to continue. Turn on Notifier Initialization micro traces to troubleshoot.",Event Log,"Initialization failed, unable to continue.",Turn on Notifier Initialization micro traces to troubleshoot.
EvtBranchProvisioned,INFORMATIONAL_ALARM,"The branch[name= %1, address= %2] has been successfully provisioned.","Event Log, Alert Log",The branch has been successfully associated with the central Connection server.,NONE
EvtBranchProvisioningFailed,WARNING_ALARM,"Provisioning for branch[name= %1, address= %2] has failed.","Event Log, Alert Log",The provisioning of branch has been failed.,"If there is no connectivity between the central Unity Connection server and the branch office, refer to the Troubleshooting Guide for Cisco Unity Connection available at http://www.cisco.com/en/US/docs/voice_ip_comm/connection/11x/troubleshooting/guide/11xcuctsgx.html. If the problem is not resolved then please contact Cisco TAC."
EvtBranchProvisioningFailedMaxRetries,ERROR_ALARM,"Provisioning for branch[name= %1, address= %2] has failed after maximum %3 retries.","Event Log, Alert Log",Provisioning for a branch has failed in all the retries.,"If there is no connectivity between the central Connection server and the branch office, refer to the Troubleshooting Guide for Cisco Unity Connection available at http://www.cisco.com/en/US/docs/voice_ip_comm/connection/11x/troubleshooting/guide/11xcuctsgx.html. If the problem is not resolved then please contact Cisco TAC."
EvtBranchProvisioningFailedMaxWait,ERROR_ALARM,"A provisioning completion notification was not received for branch[name= %1, address= %2] within the maximum wait time of %3 minutes.","Event Log, Alert Log",Provisioning for a branch has failed because the branch did not return the provisioning completion status within the defined timeframe.,"If there is no connectivity between the central Unity Connection server and the branch office, refer to the Troubleshooting Guide for Cisco Unity Connection available at http://www.cisco.com/en/US/docs/voice_ip_comm/connection/11x/troubleshooting/guide/11xcuctsgx.html. If the problem is not resolved then please contact Cisco TAC."
EvtBranchVoiceMailUpload,INFORMATIONAL_ALARM,"Voicemail upload for branch[name= %1, address= %2] completed successfully. %3 messages were uploaded.",Event Log,Voice mails from branch are uploaded on the central Unity Connection.,NONE
EvtBranchVoiceMailUploadFailed,ERROR_ALARM,"Voice mail upload for branch[name= %1, address= %2] has failed.",Event Log,No voicemail could be uploaded from the branch to the central Unity Connection server.,"If there is no connectivity between the central Unity Connection server and the branch office, refer to the Troubleshooting Guide for Cisco Unity Connection available at http://www.cisco.com/en/US/docs/voice_ip_comm/connection/11x/troubleshooting/guide/11xcuctsgx.html. If the problem is not resolved then please contact Cisco TAC."
EvtBranchVoiceMailUploadPartial,WARNING_ALARM,"Voicemail upload for branch[name= %1, address= %2] partially completed. %3 messages out of %4 were uploaded.",Event Log,All the voicemails could not be uploaded from branch to the central Unity Connection server.,"If there is no connectivity between the central Unity Connection server and the branch office, refer to the Troubleshooting Guide for Cisco Unity Connection available at http://www.cisco.com/en/US/docs/voice_ip_comm/connection/11x/troubleshooting/guide/11xcuctsgx.html. If the problem is not resolved then please contact Cisco TAC"
EvtCallHandlerInvalidRecipientProp,ERROR_ALARM,CallHandler [%1] contains an invalid Recipient Object ID.,Event Log,CallHandler contains an invalid Recipient Object ID.,Use Cisco Unity Connection Administration to verify CallHandler configuration.
EvtCallwaitingDetected,INFORMATIONAL_ALARM,"Cisco Unity Connection SCCP integration: Warning: CallWaiting tone detected on a voice mail port. The second caller (that is on Call Waiting) will be ignored, and eventually the ports will disconnect from Cisco Unified Communications Manager. To fix this problem, disable call waiting for voice mail ports on the Cisco Unified Communications Manager.",Event Log,"Cisco Unity Connection SCCP integration: Warning: CallWaiting tone detected on a voice mail port. The second caller (that is on Call Waiting) will be ignored, and eventually the ports will disconnect from Cisco Unified Communications Manager.","To fix this problem, disable call waiting for voice mail ports on the Cisco Unified Communications Manager."
EvtCdeMethodHresult,INFORMATIONAL_ALARM,%1 returned [%2] on line %3 of file %4.,Event Log,Method return.,None
EvtConnectionToMediaSenseServerFailed,ERROR_ALARM,Connection to MediaSense Server failed due to %1.,Event Log,Connection to MediaSense Server failed because MediaSense Server returned an error or it went down.,"If there is no connectivity to Cisco MediaSense, refer to the Troubleshooting Guide for Cisco Unity Connection available at http://www.cisco.com/en/US/docs/voice_ip_comm/connection/11x/troubleshooting/guide/11xcuctsgx.html. If the problem is not resolved then please contact Cisco TAC."
EvtConnectionToMediaSenseServerSucceeded,INFORMATIONAL_ALARM,Connection to MediaSense Server Succeeded.,Event Log,Connection to MediaSense Server Succeeded.,None
EvtCdeNamedPropsDump,INFORMATIONAL_ALARM,Transferred to FailSafe conversation while running conversation %1 on Port %2. See the following file for the contents of the Named Properties : %3.,Event Log,Transferred to FailSafe conversation.,None
EvtCentralNotReachable,ERROR_ALARM,Cenral connection[address= %1] is not reachable.,"Event Log, Alert Log",There is an issue with the connectivity between the central Connection server and the specified branch.,"If there is no connectivity between the central Connection server and the branch office, refer to the Troubleshooting Guide for Cisco Unity Connection available at http://www.cisco.com/en/US/docs/voice_ip_comm/connection/11x/troubleshooting/guide/11xcuctsgx.html. If the problem is not resolved then please contact Cisco TAC."
EvtCmlMessageCouldNotBeDelivered,ERROR_ALARM,"An error has occurred while attempting to assemble and send a new message from %1 to %2. Message could not be sent, see log file for more information.",Event Log,An error has occurred while attempting to assemble and send a new message. Message could not be sent.,See log file for more information.
EvtCollectionNotFoundError,ERROR_ALARM,Database synchronization thread in component %1 (pid=%2) received database notification event %3 but was unable to find collection %4. Notification could not be processed.,Event Log,Database synchronization thread received database notification event but was unable to find collection. Notification could not be processed.,See the Cisco Unity Connection Troubleshooting Guide.
EvtConnectFailedWillRetry,ERROR_ALARM,Cisco Unity Connection SCCP integration: Device %1 (Cisco Unity Connection port %1 was unable to connect to the Cisco Unified Communications Manager cluster. Examine the cluster connection settings and verify that they are correct. The device will keep trying to connect in case the Cisco Unified Communications Manager cluster is temporarily unavailable.,Event Log,Cisco Unity Connection SCCP integration: Cisco Unity Connection port was unable to connect to the Cisco Unified Communications Manager cluster.,Examine the cluster connection settings and verify that they are correct. The device will keep trying to connect in case the Cisco Unified Communications Manager cluster is temporarily unavailable.
EvtConvRegistrationFailed,ERROR_ALARM,Failed registering the conversation: [%1]. The conversation name has already been registered.,Event Log,Failed to register the conversation. The conversation name has already been registered.,None
EvtCsMalDiskCapacityThresholdExceeded,ERROR_ALARM,The system has stopped receiving messages because %1 server has exceeded its disk capacity threshold.,Event Log,Users cannot send or forward messages and cannot receive new messages until the disk capacity threshold is no longer exceeded.  Users can listen to existing messages and delete messages.,"Free disk space on this system. Start by having users delete voice messages that they no longer need. Connection automatically removes deleted messages from the hard disk every 30 minutes. To ensure that the system does not reach maximum disk capacity again, revise the Message Storage > Message Aging Policy and the Message Storage > Mailbox Quotas pages in Cisco Unity Connection Administration."
EvtCsMalDiskCapacityThresholdOK,INFORMATIONAL_ALARM,The system has resumed receiving messages now that the disk capacity threshold is no longer exceeded,Event Log,"The disk capacity threshold is no longer being exceeded resulting in users now being able to send or forward messages, and receive new messages.",None
EvtCugaAltTurnedOff,INFORMATIONAL_ALARM,The alternate greeting was turned off through the Cisco Unity Connection Greetings Administrator for call handler with extension [%1] by Mail User [%2] at extension [%3]. The ANI for the call is - [%4],Event Log,The alternate greeting was turned off through the Cisco Unity Connection Greetings Administrator for call handler.,None
